,_start,_stop,operation,pass,rework,scrap
0,2024-01-31 12:36:52.515110+00:00,2024-02-01 12:36:52.515110+00:00,Cutting,1,1,1.0
0,2024-01-31 12:36:52.515110+00:00,2024-02-01 12:36:52.515110+00:00,Sanding,2,1,
