,_time,id,count,Date,Time
0,2023-09-16 09:00:00+00:00,line_1,,2023-09-16,09:00:00
1,2023-09-16 09:05:00+00:00,line_1,,2023-09-16,09:05:00
2,2023-09-16 09:10:00+00:00,line_1,,2023-09-16,09:10:00
3,2023-09-16 09:15:00+00:00,line_1,,2023-09-16,09:15:00
4,2023-09-16 09:20:00+00:00,line_1,,2023-09-16,09:20:00
5,2023-09-16 09:25:00+00:00,line_1,,2023-09-16,09:25:00
6,2023-09-16 09:30:00+00:00,line_1,,2023-09-16,09:30:00
7,2023-09-16 09:35:00+00:00,line_1,,2023-09-16,09:35:00
8,2023-09-16 09:40:00+00:00,line_1,,2023-09-16,09:40:00
9,2023-09-16 09:45:00+00:00,line_1,,2023-09-16,09:45:00
10,2023-09-16 09:50:00+00:00,line_1,,2023-09-16,09:50:00
11,2023-09-16 09:55:00+00:00,line_1,,2023-09-16,09:55:00
12,2023-09-16 10:00:00+00:00,line_1,,2023-09-16,10:00:00
13,2023-09-16 10:05:00+00:00,line_1,,2023-09-16,10:05:00
14,2023-09-16 10:10:00+00:00,line_1,,2023-09-16,10:10:00
15,2023-09-16 10:15:00+00:00,line_1,,2023-09-16,10:15:00
16,2023-09-16 10:20:00+00:00,line_1,,2023-09-16,10:20:00
17,2023-09-16 10:25:00+00:00,line_1,,2023-09-16,10:25:00
18,2023-09-16 10:30:00+00:00,line_1,,2023-09-16,10:30:00
19,2023-09-16 10:35:00+00:00,line_1,,2023-09-16,10:35:00
20,2023-09-16 10:40:00+00:00,line_1,,2023-09-16,10:40:00
21,2023-09-16 10:45:00+00:00,line_1,,2023-09-16,10:45:00
22,2023-09-16 10:50:00+00:00,line_1,,2023-09-16,10:50:00
23,2023-09-16 10:55:00+00:00,line_1,,2023-09-16,10:55:00
24,2023-09-16 11:00:00+00:00,line_1,,2023-09-16,11:00:00
25,2023-09-16 11:05:00+00:00,line_1,,2023-09-16,11:05:00
