,_time,_measurement,machine,Current_1,Current_2,Current_3,Power_Factor,Power_kVA,Power_kVAR,Power_kW,Voltage_1,Voltage_2,Voltage_3
34,2024-01-10 14:35:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.2202606201172,0.0,0.0
35,2024-01-10 14:35:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.16795349121094,0.0,0.0
36,2024-01-10 14:36:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0618438720703,0.0,0.0
37,2024-01-10 14:36:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.89952087402344,0.0,0.0
38,2024-01-10 14:37:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0701446533203,0.0,0.0
39,2024-01-10 14:37:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.04637145996094,0.0,0.0
40,2024-01-10 14:37:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.94590759277344,0.0,0.0
41,2024-01-10 14:38:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.61297607421875,0.0,0.0
42,2024-01-10 14:38:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.78536987304688,0.0,0.0
43,2024-01-10 14:39:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0005645751953,0.0,0.0
44,2024-01-10 14:39:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.6961212158203,0.0,0.0
45,2024-01-10 14:40:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.70025634765625,0.0,0.0
46,2024-01-10 14:40:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.04544067382812,0.0,0.0
47,2024-01-10 14:41:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.8004608154297,0.0,0.0
48,2024-01-10 14:41:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.29669189453125,0.0,0.0
49,2024-01-10 14:42:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.3402862548828,0.0,0.0
50,2024-01-10 14:42:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.4642333984375,0.0,0.0
51,2024-01-10 14:42:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.39056396484375,0.0,0.0
52,2024-01-10 14:43:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.3956298828125,0.0,0.0
53,2024-01-10 14:43:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.25942993164062,0.0,0.0
54,2024-01-10 14:44:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.44166564941406,0.0,0.0
55,2024-01-10 14:44:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.41445922851562,0.0,0.0
56,2024-01-10 14:45:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.50274658203125,0.0,0.0
57,2024-01-10 14:45:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7488250732422,0.0,0.0
58,2024-01-10 14:46:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.98193359375,0.0,0.0
59,2024-01-10 14:46:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.86370849609375,0.0,0.0
60,2024-01-10 14:46:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.78317260742188,0.0,0.0
61,2024-01-10 14:47:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7568359375,0.0,0.0
62,2024-01-10 14:47:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.77755737304688,0.0,0.0
63,2024-01-10 14:48:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.3151092529297,0.0,0.0
64,2024-01-10 14:48:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.44015502929688,0.0,0.0
65,2024-01-10 14:49:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.3732452392578,0.0,0.0
66,2024-01-10 14:49:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.44664001464844,0.0,0.0
67,2024-01-10 14:50:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.493408203125,0.0,0.0
68,2024-01-10 14:50:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.47547912597656,0.0,0.0
69,2024-01-10 14:51:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.62994384765625,0.0,0.0
70,2024-01-10 14:51:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.5472412109375,0.0,0.0
71,2024-01-10 14:51:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.1932373046875,0.0,0.0
72,2024-01-10 14:52:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.99090576171875,0.0,0.0
73,2024-01-10 14:52:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.75770568847656,0.0,0.0
74,2024-01-10 14:53:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.21266174316406,0.0,0.0
75,2024-01-10 14:53:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7958984375,0.0,0.0
76,2024-01-10 14:54:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.1603240966797,0.0,0.0
77,2024-01-10 14:54:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.90838623046875,0.0,0.0
78,2024-01-10 14:55:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.8509521484375,0.0,0.0
