,_time,id,count,Date,Time
74,2023-09-17 22:05:00+00:00,line_1,,2023-09-17,22:05:00
75,2023-09-17 22:10:00+00:00,line_1,,2023-09-17,22:10:00
76,2023-09-17 22:15:00+00:00,line_1,,2023-09-17,22:15:00
77,2023-09-17 22:20:00+00:00,line_1,,2023-09-17,22:20:00
78,2023-09-17 22:25:00+00:00,line_1,,2023-09-17,22:25:00
79,2023-09-17 22:30:00+00:00,line_1,,2023-09-17,22:30:00
80,2023-09-17 22:35:00+00:00,line_1,,2023-09-17,22:35:00
81,2023-09-17 22:40:00+00:00,line_1,,2023-09-17,22:40:00
82,2023-09-17 22:45:00+00:00,line_1,,2023-09-17,22:45:00
83,2023-09-17 22:50:00+00:00,line_1,,2023-09-17,22:50:00
84,2023-09-17 22:55:00+00:00,line_1,,2023-09-17,22:55:00
85,2023-09-17 23:00:00+00:00,line_1,,2023-09-17,23:00:00
86,2023-09-17 23:05:00+00:00,line_1,,2023-09-17,23:05:00
87,2023-09-17 23:10:00+00:00,line_1,,2023-09-17,23:10:00
88,2023-09-17 23:15:00+00:00,line_1,,2023-09-17,23:15:00
89,2023-09-17 23:20:00+00:00,line_1,,2023-09-17,23:20:00
90,2023-09-17 23:25:00+00:00,line_1,,2023-09-17,23:25:00
91,2023-09-17 23:30:00+00:00,line_1,,2023-09-17,23:30:00
92,2023-09-17 23:35:00+00:00,line_1,,2023-09-17,23:35:00
93,2023-09-17 23:40:00+00:00,line_1,,2023-09-17,23:40:00
94,2023-09-17 23:45:00+00:00,line_1,,2023-09-17,23:45:00
95,2023-09-17 23:50:00+00:00,line_1,,2023-09-17,23:50:00
96,2023-09-17 23:55:00+00:00,line_1,,2023-09-17,23:55:00
97,2023-09-18 00:00:00+00:00,line_1,,2023-09-18,00:00:00
98,2023-09-18 00:05:00+00:00,line_1,,2023-09-18,00:05:00
99,2023-09-18 00:10:00+00:00,line_1,,2023-09-18,00:10:00
100,2023-09-18 00:15:00+00:00,line_1,,2023-09-18,00:15:00
101,2023-09-18 00:20:00+00:00,line_1,,2023-09-18,00:20:00
102,2023-09-18 00:25:00+00:00,line_1,,2023-09-18,00:25:00
103,2023-09-18 00:30:00+00:00,line_1,,2023-09-18,00:30:00
104,2023-09-18 00:35:00+00:00,line_1,,2023-09-18,00:35:00
105,2023-09-18 00:40:00+00:00,line_1,,2023-09-18,00:40:00
106,2023-09-18 00:45:00+00:00,line_1,,2023-09-18,00:45:00
107,2023-09-18 00:50:00+00:00,line_1,,2023-09-18,00:50:00
108,2023-09-18 00:55:00+00:00,line_1,,2023-09-18,00:55:00
109,2023-09-18 01:00:00+00:00,line_1,,2023-09-18,01:00:00
110,2023-09-18 01:05:00+00:00,line_1,,2023-09-18,01:05:00
111,2023-09-18 01:10:00+00:00,line_1,,2023-09-18,01:10:00
112,2023-09-18 01:15:00+00:00,line_1,,2023-09-18,01:15:00
113,2023-09-18 01:20:00+00:00,line_1,,2023-09-18,01:20:00
114,2023-09-18 01:25:00+00:00,line_1,,2023-09-18,01:25:00
115,2023-09-18 01:30:00+00:00,line_1,,2023-09-18,01:30:00
116,2023-09-18 01:35:00+00:00,line_1,,2023-09-18,01:35:00
117,2023-09-18 01:40:00+00:00,line_1,,2023-09-18,01:40:00
118,2023-09-18 01:45:00+00:00,line_1,,2023-09-18,01:45:00
119,2023-09-18 01:50:00+00:00,line_1,,2023-09-18,01:50:00
120,2023-09-18 01:55:00+00:00,line_1,,2023-09-18,01:55:00
121,2023-09-18 02:00:00+00:00,line_1,,2023-09-18,02:00:00
122,2023-09-18 02:05:00+00:00,line_1,,2023-09-18,02:05:00
123,2023-09-18 02:10:00+00:00,line_1,,2023-09-18,02:10:00
124,2023-09-18 02:15:00+00:00,line_1,,2023-09-18,02:15:00
125,2023-09-18 02:20:00+00:00,line_1,,2023-09-18,02:20:00
126,2023-09-18 02:25:00+00:00,line_1,,2023-09-18,02:25:00
127,2023-09-18 02:30:00+00:00,line_1,,2023-09-18,02:30:00
128,2023-09-18 02:35:00+00:00,line_1,,2023-09-18,02:35:00
129,2023-09-18 02:40:00+00:00,line_1,,2023-09-18,02:40:00
130,2023-09-18 02:45:00+00:00,line_1,,2023-09-18,02:45:00
131,2023-09-18 02:50:00+00:00,line_1,,2023-09-18,02:50:00
132,2023-09-18 02:55:00+00:00,line_1,,2023-09-18,02:55:00
133,2023-09-18 03:00:00+00:00,line_1,,2023-09-18,03:00:00
134,2023-09-18 03:05:00+00:00,line_1,,2023-09-18,03:05:00
135,2023-09-18 03:10:00+00:00,line_1,,2023-09-18,03:10:00
136,2023-09-18 03:15:00+00:00,line_1,,2023-09-18,03:15:00
137,2023-09-18 03:20:00+00:00,line_1,,2023-09-18,03:20:00
138,2023-09-18 03:25:00+00:00,line_1,,2023-09-18,03:25:00
139,2023-09-18 03:30:00+00:00,line_1,,2023-09-18,03:30:00
140,2023-09-18 03:35:00+00:00,line_1,,2023-09-18,03:35:00
141,2023-09-18 03:40:00+00:00,line_1,,2023-09-18,03:40:00
142,2023-09-18 03:45:00+00:00,line_1,,2023-09-18,03:45:00
143,2023-09-18 03:50:00+00:00,line_1,,2023-09-18,03:50:00
144,2023-09-18 03:55:00+00:00,line_1,,2023-09-18,03:55:00
145,2023-09-18 04:00:00+00:00,line_1,,2023-09-18,04:00:00
146,2023-09-18 04:05:00+00:00,line_1,,2023-09-18,04:05:00
147,2023-09-18 04:10:00+00:00,line_1,,2023-09-18,04:10:00
148,2023-09-18 04:15:00+00:00,line_1,,2023-09-18,04:15:00
149,2023-09-18 04:20:00+00:00,line_1,,2023-09-18,04:20:00
150,2023-09-18 04:25:00+00:00,line_1,,2023-09-18,04:25:00
151,2023-09-18 04:30:00+00:00,line_1,,2023-09-18,04:30:00
152,2023-09-18 04:35:00+00:00,line_1,,2023-09-18,04:35:00
153,2023-09-18 04:40:00+00:00,line_1,,2023-09-18,04:40:00
154,2023-09-18 04:45:00+00:00,line_1,,2023-09-18,04:45:00
155,2023-09-18 04:50:00+00:00,line_1,,2023-09-18,04:50:00
156,2023-09-18 04:55:00+00:00,line_1,,2023-09-18,04:55:00
157,2023-09-18 05:00:00+00:00,line_1,,2023-09-18,05:00:00
158,2023-09-18 05:05:00+00:00,line_1,,2023-09-18,05:05:00
159,2023-09-18 05:10:00+00:00,line_1,,2023-09-18,05:10:00
160,2023-09-18 05:15:00+00:00,line_1,,2023-09-18,05:15:00
161,2023-09-18 05:20:00+00:00,line_1,,2023-09-18,05:20:00
162,2023-09-18 05:25:00+00:00,line_1,,2023-09-18,05:25:00
163,2023-09-18 05:30:00+00:00,line_1,,2023-09-18,05:30:00
164,2023-09-18 05:35:00+00:00,line_1,,2023-09-18,05:35:00
165,2023-09-18 05:40:00+00:00,line_1,,2023-09-18,05:40:00
166,2023-09-18 05:45:00+00:00,line_1,,2023-09-18,05:45:00
167,2023-09-18 05:50:00+00:00,line_1,,2023-09-18,05:50:00
168,2023-09-18 05:55:00+00:00,line_1,,2023-09-18,05:55:00
169,2023-09-18 06:00:00+00:00,line_1,,2023-09-18,06:00:00
170,2023-09-18 06:05:00+00:00,line_1,,2023-09-18,06:05:00
171,2023-09-18 06:10:00+00:00,line_1,,2023-09-18,06:10:00
172,2023-09-18 06:15:00+00:00,line_1,,2023-09-18,06:15:00
173,2023-09-18 06:20:00+00:00,line_1,,2023-09-18,06:20:00
174,2023-09-18 06:25:00+00:00,line_1,,2023-09-18,06:25:00
175,2023-09-18 06:30:00+00:00,line_1,,2023-09-18,06:30:00
176,2023-09-18 06:35:00+00:00,line_1,,2023-09-18,06:35:00
177,2023-09-18 06:40:00+00:00,line_1,,2023-09-18,06:40:00
178,2023-09-18 06:45:00+00:00,line_1,,2023-09-18,06:45:00
179,2023-09-18 06:50:00+00:00,line_1,,2023-09-18,06:50:00
180,2023-09-18 06:55:00+00:00,line_1,,2023-09-18,06:55:00
181,2023-09-18 07:00:00+00:00,line_1,,2023-09-18,07:00:00
182,2023-09-18 07:05:00+00:00,line_1,22.0,2023-09-18,07:05:00
183,2023-09-18 07:10:00+00:00,line_1,,2023-09-18,07:10:00
184,2023-09-18 07:15:00+00:00,line_1,,2023-09-18,07:15:00
185,2023-09-18 07:20:00+00:00,line_1,48.0,2023-09-18,07:20:00
186,2023-09-18 07:25:00+00:00,line_1,,2023-09-18,07:25:00
187,2023-09-18 07:30:00+00:00,line_1,,2023-09-18,07:30:00
188,2023-09-18 07:35:00+00:00,line_1,58.0,2023-09-18,07:35:00
189,2023-09-18 07:40:00+00:00,line_1,16.0,2023-09-18,07:40:00
190,2023-09-18 07:45:00+00:00,line_1,,2023-09-18,07:45:00
191,2023-09-18 07:50:00+00:00,line_1,,2023-09-18,07:50:00
192,2023-09-18 07:55:00+00:00,line_1,,2023-09-18,07:55:00
193,2023-09-18 08:00:00+00:00,line_1,,2023-09-18,08:00:00
194,2023-09-18 08:05:00+00:00,line_1,,2023-09-18,08:05:00
195,2023-09-18 08:10:00+00:00,line_1,,2023-09-18,08:10:00
196,2023-09-18 08:15:00+00:00,line_1,,2023-09-18,08:15:00
197,2023-09-18 08:20:00+00:00,line_1,,2023-09-18,08:20:00
198,2023-09-18 08:25:00+00:00,line_1,,2023-09-18,08:25:00
199,2023-09-18 08:30:00+00:00,line_1,,2023-09-18,08:30:00
200,2023-09-18 08:35:00+00:00,line_1,,2023-09-18,08:35:00
201,2023-09-18 08:40:00+00:00,line_1,,2023-09-18,08:40:00
202,2023-09-18 08:45:00+00:00,line_1,,2023-09-18,08:45:00
203,2023-09-18 08:50:00+00:00,line_1,,2023-09-18,08:50:00
204,2023-09-18 08:55:00+00:00,line_1,,2023-09-18,08:55:00
205,2023-09-18 09:00:00+00:00,line_1,,2023-09-18,09:00:00
206,2023-09-18 09:05:00+00:00,line_1,,2023-09-18,09:05:00
207,2023-09-18 09:10:00+00:00,line_1,,2023-09-18,09:10:00
208,2023-09-18 09:15:00+00:00,line_1,,2023-09-18,09:15:00
209,2023-09-18 09:20:00+00:00,line_1,,2023-09-18,09:20:00
210,2023-09-18 09:25:00+00:00,line_1,,2023-09-18,09:25:00
211,2023-09-18 09:30:00+00:00,line_1,,2023-09-18,09:30:00
212,2023-09-18 09:35:00+00:00,line_1,,2023-09-18,09:35:00
213,2023-09-18 09:40:00+00:00,line_1,,2023-09-18,09:40:00
214,2023-09-18 09:45:00+00:00,line_1,,2023-09-18,09:45:00
215,2023-09-18 09:50:00+00:00,line_1,,2023-09-18,09:50:00
216,2023-09-18 09:55:00+00:00,line_1,,2023-09-18,09:55:00
217,2023-09-18 10:00:00+00:00,line_1,,2023-09-18,10:00:00
218,2023-09-18 10:05:00+00:00,line_1,,2023-09-18,10:05:00
219,2023-09-18 10:10:00+00:00,line_1,,2023-09-18,10:10:00
220,2023-09-18 10:15:00+00:00,line_1,,2023-09-18,10:15:00
221,2023-09-18 10:20:00+00:00,line_1,,2023-09-18,10:20:00
222,2023-09-18 10:25:00+00:00,line_1,,2023-09-18,10:25:00
223,2023-09-18 10:30:00+00:00,line_1,,2023-09-18,10:30:00
224,2023-09-18 10:35:00+00:00,line_1,,2023-09-18,10:35:00
225,2023-09-18 10:40:00+00:00,line_1,,2023-09-18,10:40:00
