,_time,id,count
116,2023-09-17 01:05:00+00:00,line_1,
117,2023-09-17 01:10:00+00:00,line_1,
118,2023-09-17 01:15:00+00:00,line_1,
119,2023-09-17 01:20:00+00:00,line_1,
120,2023-09-17 01:25:00+00:00,line_1,
121,2023-09-17 01:30:00+00:00,line_1,
122,2023-09-17 01:35:00+00:00,line_1,
123,2023-09-17 01:40:00+00:00,line_1,
124,2023-09-17 01:45:00+00:00,line_1,
125,2023-09-17 01:50:00+00:00,line_1,
126,2023-09-17 01:55:00+00:00,line_1,
127,2023-09-17 02:00:00+00:00,line_1,
128,2023-09-17 02:05:00+00:00,line_1,
129,2023-09-17 02:10:00+00:00,line_1,
130,2023-09-17 02:15:00+00:00,line_1,
131,2023-09-17 02:20:00+00:00,line_1,
132,2023-09-17 02:25:00+00:00,line_1,
133,2023-09-17 02:30:00+00:00,line_1,
134,2023-09-17 02:35:00+00:00,line_1,
135,2023-09-17 02:40:00+00:00,line_1,
136,2023-09-17 02:45:00+00:00,line_1,
137,2023-09-17 02:50:00+00:00,line_1,
138,2023-09-17 02:55:00+00:00,line_1,
139,2023-09-17 03:00:00+00:00,line_1,
140,2023-09-17 03:05:00+00:00,line_1,
141,2023-09-17 03:10:00+00:00,line_1,
142,2023-09-17 03:15:00+00:00,line_1,
143,2023-09-17 03:20:00+00:00,line_1,
144,2023-09-17 03:25:00+00:00,line_1,
145,2023-09-17 03:30:00+00:00,line_1,
146,2023-09-17 03:35:00+00:00,line_1,
147,2023-09-17 03:40:00+00:00,line_1,
148,2023-09-17 03:45:00+00:00,line_1,
149,2023-09-17 03:50:00+00:00,line_1,
150,2023-09-17 03:55:00+00:00,line_1,
151,2023-09-17 04:00:00+00:00,line_1,
152,2023-09-17 04:05:00+00:00,line_1,
153,2023-09-17 04:10:00+00:00,line_1,
154,2023-09-17 04:15:00+00:00,line_1,
155,2023-09-17 04:20:00+00:00,line_1,
156,2023-09-17 04:25:00+00:00,line_1,
157,2023-09-17 04:30:00+00:00,line_1,
158,2023-09-17 04:35:00+00:00,line_1,
159,2023-09-17 04:40:00+00:00,line_1,
160,2023-09-17 04:45:00+00:00,line_1,
161,2023-09-17 04:50:00+00:00,line_1,
162,2023-09-17 04:55:00+00:00,line_1,
163,2023-09-17 05:00:00+00:00,line_1,
164,2023-09-17 05:05:00+00:00,line_1,
165,2023-09-17 05:10:00+00:00,line_1,
166,2023-09-17 05:15:00+00:00,line_1,
167,2023-09-17 05:20:00+00:00,line_1,
168,2023-09-17 05:25:00+00:00,line_1,
169,2023-09-17 05:30:00+00:00,line_1,
170,2023-09-17 05:35:00+00:00,line_1,
171,2023-09-17 05:40:00+00:00,line_1,
172,2023-09-17 05:45:00+00:00,line_1,
173,2023-09-17 05:50:00+00:00,line_1,
174,2023-09-17 05:55:00+00:00,line_1,
175,2023-09-17 06:00:00+00:00,line_1,
176,2023-09-17 06:05:00+00:00,line_1,
177,2023-09-17 06:10:00+00:00,line_1,
178,2023-09-17 06:15:00+00:00,line_1,
179,2023-09-17 06:20:00+00:00,line_1,
180,2023-09-17 06:25:00+00:00,line_1,
181,2023-09-17 06:30:00+00:00,line_1,
182,2023-09-17 06:35:00+00:00,line_1,
183,2023-09-17 06:40:00+00:00,line_1,
184,2023-09-17 06:45:00+00:00,line_1,
185,2023-09-17 06:50:00+00:00,line_1,
186,2023-09-17 06:55:00+00:00,line_1,
187,2023-09-17 07:00:00+00:00,line_1,
188,2023-09-17 07:05:00+00:00,line_1,
189,2023-09-17 07:10:00+00:00,line_1,
190,2023-09-17 07:15:00+00:00,line_1,
191,2023-09-17 07:20:00+00:00,line_1,
192,2023-09-17 07:25:00+00:00,line_1,
193,2023-09-17 07:30:00+00:00,line_1,
194,2023-09-17 07:35:00+00:00,line_1,
195,2023-09-17 07:40:00+00:00,line_1,
196,2023-09-17 07:45:00+00:00,line_1,
197,2023-09-17 07:50:00+00:00,line_1,
198,2023-09-17 07:55:00+00:00,line_1,
199,2023-09-17 08:00:00+00:00,line_1,
200,2023-09-17 08:05:00+00:00,line_1,
201,2023-09-17 08:10:00+00:00,line_1,
202,2023-09-17 08:15:00+00:00,line_1,
203,2023-09-17 08:20:00+00:00,line_1,
204,2023-09-17 08:25:00+00:00,line_1,
205,2023-09-17 08:30:00+00:00,line_1,
206,2023-09-17 08:35:00+00:00,line_1,
207,2023-09-17 08:40:00+00:00,line_1,
208,2023-09-17 08:45:00+00:00,line_1,
209,2023-09-17 08:50:00+00:00,line_1,
210,2023-09-17 08:55:00+00:00,line_1,
211,2023-09-17 09:00:00+00:00,line_1,
212,2023-09-17 09:05:00+00:00,line_1,
213,2023-09-17 09:10:00+00:00,line_1,
214,2023-09-17 09:15:00+00:00,line_1,
215,2023-09-17 09:20:00+00:00,line_1,
216,2023-09-17 09:25:00+00:00,line_1,
217,2023-09-17 09:30:00+00:00,line_1,
218,2023-09-17 09:35:00+00:00,line_1,
219,2023-09-17 09:40:00+00:00,line_1,
220,2023-09-17 09:45:00+00:00,line_1,
221,2023-09-17 09:50:00+00:00,line_1,
222,2023-09-17 09:55:00+00:00,line_1,
223,2023-09-17 10:00:00+00:00,line_1,
224,2023-09-17 10:05:00+00:00,line_1,
225,2023-09-17 10:10:00+00:00,line_1,
226,2023-09-17 10:15:00+00:00,line_1,
227,2023-09-17 10:20:00+00:00,line_1,
228,2023-09-17 10:25:00+00:00,line_1,
229,2023-09-17 10:30:00+00:00,line_1,
230,2023-09-17 10:35:00+00:00,line_1,
231,2023-09-17 10:40:00+00:00,line_1,
232,2023-09-17 10:45:00+00:00,line_1,
233,2023-09-17 10:50:00+00:00,line_1,
234,2023-09-17 10:55:00+00:00,line_1,
235,2023-09-17 11:00:00+00:00,line_1,
236,2023-09-17 11:05:00+00:00,line_1,
237,2023-09-17 11:10:00+00:00,line_1,
238,2023-09-17 11:15:00+00:00,line_1,
239,2023-09-17 11:20:00+00:00,line_1,
240,2023-09-17 11:25:00+00:00,line_1,
241,2023-09-17 11:30:00+00:00,line_1,
242,2023-09-17 11:35:00+00:00,line_1,
243,2023-09-17 11:40:00+00:00,line_1,
244,2023-09-17 11:45:00+00:00,line_1,
245,2023-09-17 11:50:00+00:00,line_1,
246,2023-09-17 11:55:00+00:00,line_1,
247,2023-09-17 12:00:00+00:00,line_1,
248,2023-09-17 12:05:00+00:00,line_1,
249,2023-09-17 12:10:00+00:00,line_1,
250,2023-09-17 12:15:00+00:00,line_1,
251,2023-09-17 12:20:00+00:00,line_1,
252,2023-09-17 12:25:00+00:00,line_1,
253,2023-09-17 12:30:00+00:00,line_1,
254,2023-09-17 12:35:00+00:00,line_1,
255,2023-09-17 12:40:00+00:00,line_1,
256,2023-09-17 12:45:00+00:00,line_1,
257,2023-09-17 12:50:00+00:00,line_1,
258,2023-09-17 12:55:00+00:00,line_1,
259,2023-09-17 13:00:00+00:00,line_1,
